,key_0,count_dist,mean_dist,std_dist,min_dist,25%_dist,50%_dist,75%_dist,max_dist,count_wtDist,mean_wtDist,std_wtDist,min_wtDist,25%_wtDist,50%_wtDist,75%_wtDist,max_wtDist
0,American Athletic Conference,35.0,544.0582842361672,584.5255196093548,27.304459479396826,214.5716402135709,348.1418291739199,630.3268679594769,2464.0605197641844,35.0,390.19994582709785,475.8594937207837,10.96832596398624,162.11502348603625,261.10637188043995,430.36627559371425,2038.3075268051873
1,Atlantic 10 Conference,11.0,969.5217638550583,958.8684956014378,45.87754640991753,132.42888888895888,288.7157572986736,1895.1914863188201,2278.01306070191,11.0,431.1384009202859,464.6323743775448,22.938773204958764,68.08049968450985,288.7157572986736,550.2299584176709,1365.835009763346
2,Atlantic Coast Conference,139.0,600.8420462242111,703.710798865824,1.0685466945199706,127.4226595727384,345.1946257822979,658.0861415776953,2865.8293898150737,139.0,302.42619240083985,313.2462106770817,0.8014100208899779,87.44452454612005,193.69553982791774,401.4047715068664,1547.3553785429585
3,Big 12 Conference,78.0,544.7618482362171,402.36617682235953,17.777579432529297,219.23349655989665,454.13423945557525,773.4629560221823,1631.9848827369192,78.0,299.5476730251699,225.2034963768498,10.635634418019336,149.9315247307073,226.33828034813672,406.1013368097206,1054.0143593734642
4,Big East Conference,44.0,700.3086122927981,803.608329995047,12.131190868669886,234.5367633048116,375.3505749826028,765.5963458583284,2863.66665002988,44.0,418.0927749803852,584.8562031581247,6.065595434334943,114.86977853513564,221.48139004157832,397.3238660758925,2780.9996499151234
5,Big Ten Conference,94.0,697.7953914773008,704.4723254416356,8.249110006618928,151.7863047851964,423.7444307041154,915.3531677304043,2768.8121561946336,94.0,332.9497359433528,342.7015168795134,8.249110006618928,101.6218334385315,213.24135806106,445.0672226912031,1806.4308025140797
6,Missouri Valley Conference,2.0,670.7385774531788,367.96518996241093,410.54789639016184,540.6432369216702,670.7385774531788,800.8339179846872,930.9292585161957,2.0,167.6846443632947,91.99129749060273,102.63697409754046,135.16080923041756,167.6846443632947,200.2084794961718,232.73231462904891
7,Mountain West Conference,13.0,628.901539788498,466.98590828360716,231.15031778132573,352.8954102042558,380.6044896201698,925.2442492231772,1688.2046713718667,13.0,293.1738807593951,212.39275845917714,57.78757944533143,117.83362432103426,285.45336721512734,352.8954102042558,844.1023356859333
8,Pac-12 Conference,59.0,811.1784168874096,692.0947858090375,0.38782399878422136,369.5597037643138,533.4576414321026,965.1154778060973,2687.468752341017,59.0,459.9388650718315,427.51717362027506,0.38782399878422136,174.19145016491288,389.3378391238001,587.0742715763788,2211.465583276387
9,Southeastern Conference,74.0,562.1480344565564,481.8687786833448,49.67209510589464,233.8606245524869,476.6003424940174,645.4880897291183,2181.9775687679094,74.0,302.78350488079616,277.09840827587345,22.67979168293995,123.2022850329307,212.8751348591578,413.5865996417372,1710.2541302214465
10,West Coast Conference,11.0,602.1087614929248,434.5460269848623,262.57110478761405,329.9831399828718,549.3802643006065,549.3802643006065,1741.7706910095715,11.0,336.2974935168077,189.07124420875846,65.64277619690351,218.7049727645367,274.69013215030327,534.6071140772412,549.3802643006065
